,Unnamed: 0,lat,lon,lat_st,lon_st,distance
0,0,42.88149887862141,-8.432536009471237,42.896,-8.415,2.15
1,1,42.91738852548408,-8.429224938795953,42.896,-8.415,2.64
2,2,42.87906360284184,-8.38355936586536,42.896,-8.415,3.18
3,3,42.914951826465234,-8.380219858087338,42.896,-8.415,3.53
